UN Chief Says There Is No Military Solution in Syria	Șeful ONU declară că nu există soluții militare în Siria
Her mother is also emotional, cries, and she can hardly believe such a thing could happen to her.	Mama e și ea emoționată, plânge, și crede cu greu că așa ceva i se poate întâmpla ei.
I'm very nervous.	Sunt foarte emoționată.
I could not believe something like this could happen.	N-am crezut că se poate întâmpla așa ceva.
I've seen such cases only on TV, I kept thinking about her all these years, I hoped, but I never thought it could happen to me.	Am văzut așa cazuri la televizor, m-am tot gândit în acești ani, am sperat, dar nu m-am gândit că aș putea fi și eu așa.
I am very nervous.	Sunt emoții foarte mari.
If she could only forgive me.	Dacă m-ar putea ierta.
I hope that we can visit each other in the future.	Eu sper să ne vizităm în viitor.
"I hope we can stay in contact", says Alina with big tears on her cheeks, Crina's mother, while holding a napkin tight in her hand.	"Sper să putem păstra o legatură", ne spune cu lacrimi mari pe obraji Alina, mama Crinei, în timp ce ține strâns în mână un șervețel.
She hides her tears of happiness in that napkin, because soon she will see her daughter after so long.	În el își mai ascunde lacrimile, de fericire, pentru că în scurt timp se va vedea cu fata ei după atâta amar de vreme.
On the other side, Crina, whose birthday is in just a few days from now, is turning 20 and she's trying to calm herself just like an emotional child.	De partea cealaltă, Crina, care va împlini peste numai câteva zile, luna aceasta, 20 de ani, încearcă să se liniștească precum un copil emotiv.
She has no idea of what to expect, but has a vague idea about her biological parents.	Nu știe la ce să se aștepte, dar și-a schițat o idee vagă despre părinții ei biologici.
She thinks they're young, but now before the meeting she tries to gather her thoughts, because she has so much to say, but nothing to reproach.	Crede că sunt tineri, dar acum înainte de întâlnire încearcă să își adune gândurile, pentru că are foarte multe de spus, dar nimic de reproșat.
My parents are two mothers and two fathers.	Părinții mei sunt două mame și doi tați.
But in the end, my parents are the ones who raised me.	Dar părinții mei sunt până la urmă cei care m-au crescut.
It will be a nice meeting, a wonderful experience.	Va fi o întâlnire frumoasă, o experiență minunată.
"I hope to gain a beautiful memory after meeting them, because now there are so many things to say," confesses Crina.	"Sper să am o amintire frumoasă cu ei, pentru că acum sunt atât de multe lucruri de spus", ne mărturisește Crina.
The first family reunion in Iași	Prima reuniune de familie în Iași
In Piața Unirii, beneath the autumn sky, the family from Ruginoasa joins their destiny with their daughter in Palermo.	În Piața Unirii, sub cerul începutului de toamnă, familia din Ruginoasa își unește din nou destinul cu fata lor din Palermo.
Crina is now 20, she's finishing high school according to the Italian school system, but she has the opportunity to begin a new chapter with Alina and Costel, her biological parents.	Crina are acum 20 de ani, termină liceul, după modelul școlar italian, dar poate începe un nou capitol cu Alina și Costică, părinții ei biologici.
There are no more borders or countries separating them, just one barrier: the language.	Nu îi mai despart granițe sau țări, ci doar o barieră: cea a limbii.
This barrier is easily broken with the help of an interpreter, a local Italian owner whose establishment is located in the centre of Iași.	Peste care, cu ajutorul unui translator, un italian proprietar de local în centrul Iașului, au trecut cu ușurință.
Those who managed to make this meeting possible say this is the first event of its kind, and that in the future, if they will have another chance to make it happen, they will do it.	Cei care au reușit să facă posibilă această întâlnire spun că este primul eveniment de acest fel făcut, și că, în viitor, dacă se mai ivește ocazia, o vor mai face.
It is the first event of this kind with such amount of emotion, and I'm glad it's a success.	Este primul eveniment de acest fel organizat, de o asemenea încărcătură emoțională, și mă bucur să fie o reușită.
The centre we work at conducts various activities and most times we are associated with an institution that only deals with drug consumers or addicts.	Noi, la Centru, avem diferite activități, iar de cele mai multe ori suntem asociați ca fiind o instituție care se ocupă numai cu persoanele consumatoare, persoanele dependente de droguri.
But we try to give something good back to the community.	Dar noi încercăm să redăm societații ceva bun înapoi.
"If I will ever be asked to participate in such activities, I will do it with all my heart", says Romică Ichim smiling, the director of the Regional Centre for Prevention, Assessment and Counselling in Iași.	"Dacă voi mai fi solicitat pentru un asemenea evenimeniment, o voi face cu mare drag", spune zâmbind Romică Ichim, directorul Centrului Regional de Prevenire, Evaluare și Consiliere Antidrog Iași.
Behind him, the Balcan family with Crina in the middle walk away telling stories.	În spatele său, familia Balcan, cu Crina în mijloc, se depărtează povestind.
It's quite understandable: they have much to say to each other.	Sunt de înțeles: au multe să-și spună unii altora.
Temporary truce, yesterday at PSD (Social Democrat Party).	Armistițiu cu armele la picior, ieri, la PSD.
Everyone can catch their breath	Toată lumea-și trage sufletul
The sides of PSD Branch of Iasi county concluded a temporary truce.	Taberele din filiala ieșeană a PSD au încheiat un armistițiu cu arma la picior.
After multiple discussion sessions, held from Friday to Sunday, the first being the most tense, PSD leaders agreed to temporarily suspend hostilities.	După runde succesive de discuții, purtate de vineri până duminică, prima fiind și cea mai tensionată, liderii PSD au căzut de acord să suspende temporar ostilitățile.
Forced by the party's executive president, Liviu Dragnea, to present a unified position, the Social Democrats of Iasi county will send a whole list of potential candidates for the party's positions.	Presați de președintele executiv al partidului, Liviu Dragnea, să prezinte o poziție unită, social-democrații ieșeni îi vor trimite acestuia o listă întreagă de candidați potențiali la funcțiile din partid.
Far from being over, the party's internal war seems to be on a break to allow combatants to catch their breath.	Departe de a se fi încheiat, războiul intern din partid pare să fi luat doar o pauză pentru a permite combatanților să-și tragă sufletul.
Dragnea has not given an ultimatum.	Dragnea nu a dat un ultimatum.
He sent a very simple and timely message under current circumstances: try to find a solution in order not to jeopardize the party.	A lansat un mesaj foarte simplu și foarte actual în condițiile de acum: încercați să găsiți o soluție pentru a nu pune în pericol partidul.
On October 3 we have elections within the party.	Pe 3 octombrie avem alegeri în partid.
All the positions will be made available to those who want them.	Toate funcțiile vor fi puse la dispoziția celor care le vor dori.
"Until then, we remain in the existing structure," said Acting Mayor Mihai Chirica.	"Până atunci, rămânem în structura existentă", a precizat primarul interimar, Mihai Chirica.
The two days of discussions over the weekend led only to the conclusion that nothing certain has been established.	Cele două zile de discuții din weekend au dus doar la concluzia că nimic cert nu a fost stabilit.
At the October elections for the presidency of the county branch of PSD a fierce competition is to be expected.	La alegerile din octombrie, pentru funcția de președinte al filialei județene a PSD este așteptată o concurență acerbă.
On the short list of possible candidates for the main position of the Iasi branch of the party is the Secretary of state Maricel Popa, Senator Florin Constantinescu, Senator Sorin Lazar, county councillor Vasile Câtea and Acting President of the County Council, Victorel Lupu.	Pe lista scurtă a posibililor candidați la principala funcție din filiala ieșeană a partidului se află secretarul de stat Maricel Popa, senatorul Florin Constantinescu, senatorul Sorin Lazăr, consilierul județean Vasile Câtea și președintele interimar al Consiliului Județean, Victorel Lupu.
The mayor of Schitu Duca commune, Mihai Mihalache, can also be added.	La aceștia s-ar putea adăuga și primarul comunei Schitu Duca, Mihai Mihalache.
The candidacy of PSD county councillors leader Cristian Stanciu can also be a variant, if Lupu does not enter the race, as sources within the party say he is not interested in the position.	O variantă luată în calcul este și candidatura liderului consilierilor județeni ai PSD, Cristian Stanciu, în cazul în care Lupu nu se va mai înscrie în cursă, surse din cadrul partidului afirmând că acesta nu este interesat de funcție.
The only name that was not mentioned by any of the participants in the negotiations of recent days is that of the former head of the branch, Mayor Gheorghe Nichita.	Singurul nume care nu a fost menționat de niciunul din participanții la negocierile din ultimele zile este cel al fostului lider al filialei, primarul Gheorghe Nichita.
The list of candidates is open.	Lista candidaților este deschisă.
According to the statute, applications may be submitted including in the election day and no one would be surprised if it happened.	Conform statutului, inclusiv în ziua alegerilor pot fi depuse candidaturi, și nu ar mira pe nimeni dacă s-ar întâmpla.
"It is important we remain united and will remain so after October 3, when we shall have a new Executive Office, a new Permanent County Office and new leadership structures," stated Câtea.	"Important este că rămânem uniți, și vom rămâne și după 3 octombrie, când vom avea un nou Birou Executiv, un nou Birou Permanent Județean și toate structurile de conducere noi", a precizat Câtea.
Until the organisation of internal elections, the management of PSD county branch will be provided by Victorel Lupu, a close friend of Nichita and Stanciu.	Până la organizarea alegerilor interne, conducerea filialei județene a PSD va fi asigurată de Victorel Lupu, un apropiat al lui Nichita și Stanciu.
Lupu is still on vacation until September 29, the preparation of the elections being actually provided by the branch executive secretary, county councillor Mihail Popescu, who is not in the best terms with Nichita's followers.	Lupu se află însă în concediu până pe 29 septembrie, pregătirea alegerilor urmând practic să fie asigurată de secretarul executiv al filialei, consilierul județean Mihail Popescu, aflat în relații reci cu tabăra Nichita.
Contacted by telephone, Cristian Stanciu stated that the recent discussions led to "a partial agreement".	Contactat telefonic, Cristian Stanciu a apreciat discuțiile din ultimele zile ca ducând la "un consens parțial".
There is a wide openness to maintain balance and unity in the party.	Există o disponibilitate largă pentru a menține echilibrul și unitatea în partid.
A partial consensus was reached to support a unified team to manage the county.	S-a ajuns la un consens parțial, în sensul susținerii unei echipe unitare care să se ocupe de județ.
"But on the other hand, there are many variants on the PSD presidential candidacy intentions in Iași county, as the list is still open," said Stanciu.	"Însă, pe de altă parte, există mai multe variante privind intențiile legate de candidatura la președinția PSD Iași, lista rămânând deschisă", a comentat Stanciu.
A judge from Iasi rejected the file of the rapists from Vaslui on the grounds of concubinage	Un judecător ieșean a refuzat dosarul violatorilor din Vaslui pe motiv de concubinaj
The seven youngsters from Vaslui convicted of rape shell be heard today by the Court of Appeal Iasi.	Cei șapte tineri din județul Vaslui condamnați pentru viol ajung astăzi la Curtea de Apel Iași.
The rapists whose sentences range from five years and eight months to eight years and four months will present arguments concerning their freedom today, after the trial court of Vaslui has requested their immediate incarceration after the sentencing.	Vasluienii condamnați la pedepse între cinci ani și opt luni și opt ani și patru luni își vor prezenta azi argumentele privind punerea lor în libertate, după ce instanța de fond, Judecătoria Vaslui, a stabilit încarcerarea lor imediat după pronunțarea sentinței.
The case was registered at the Court of Appeal last week, magistrate Dan Anton formulating a request of abstention which was admitted by his colleagues.	Dosarul a fost înregistrat la Curtea de Apel la finele săptămânii trecute, magistratul Dan Anton formulând o cerere de abținere, admisă de colegii săi.
Anton claimed that one of the lawyers of the defendants, attorney Bogdan Luca, is the concubine of his daughter, attorney Dana Anton.	Anton a invocat faptul că unul dintre avocații inculpaților, avocatul Bogdan Luca, este concubinul fiicei sale, avocata Dana Anton.
Luca defends Silviu Ovidiu Burada, who received the highest penalty in this case.	Luca îl apără pe Silviu Ovidiu Burada, cel care a primit cea mai mare pedeapsă în acest dosar.
How the judges motivated their sentence	Cum au motivat judecătorii sentința
Last weekend, the magistrate of Vaslui Court who convicted the seven youngsters motivated his sentence.	La finele săptămânii trecute, magistratul de la Judecătoria Vaslui care i-a condamnat pe cei șapte tineri a motivat sentința.
In his motivation, the judge speaks of the defiant reaction of the defendants, but also of those who supported them, stating that such attitudes create a strong sense of indignation among the public.	În motivare judecătorul vorbește despre reacția sfidătoare a inculpaților, dar și a celor care i-au susținut, precizând că astfel de atitudini creează un puternic sentiment de indignare în rândul opiniei publice.
"The court finds that after the moment the judicial control was placed under preventive measure, the measure of liberty restriction but not liberty deprivation, due to the impact of the attitude of the defendants and their families and local supporters, was felt in the local and national community as a strong sense of indignation regarding the fact that the individuals accused of serious offenses are tried under a less restrictive measure", states the motivation of the Vaslui Court.	"Instanța constată că după momentul plasării sub măsura preventivă a controlului judiciar, măsură restrictivă de libertate dar nu privativă de libertate, sub impactul atitudinii inculpaților, a familiilor și susținătorilor localnici ai acestora, a fost resimțit la nivelul comunității locale și naționale un puternic sentiment de indignare cu privire la faptul că persoane acuzate de fapte grave sunt judecate sub o măsură mai puțin restrictivă", se arată în motivarea Judecătoriei Vaslui.
Also, the magistrates ruled out the main defence of the seven defendants who, during the process, invoked that the girl they raped wasn't "quite a clean potato".	De asemenea, magistrații au demontat și principala apărare a celor șapte inculpați care pe timpul procesul au invocat faptul că fata pe care au violat-o nu ar fi "ușă de biserică".
"The court emphasises that the moral quality the victim is irrelevant, aspect which the defendants wished to highlight in their defence, as the physical and sexual liberty of a person cannot be violated under any pretext", adds the motivation.	"Instanța sublinază că este lipsită de relevanță calitatea morală a persoanei vătămate, aspect pe care inculpații au dorit să îl evidențieze prin apărările pe care le-au formulat, întrucât libertatea fizică și sexuală a unei persoane nu poate fi încălcată sub niciun pretext", se mai precizează în motivare.
Corbyn, the Brexit and the future of Europe	Corbyn, Brexit-ul și viitorul Europei
Due to economic and demographic reasons, the prosperity enjoyed in the last decades cannot continue in the coming years.	Din cauze economice și demografice, prosperitatea de care s-au bucurat în ultimii zeci de ani nu mai poate continua la fel în anii următori.
By Saturday, probably few people in Romania knew who Jeremy Corbyn is.	Până sâmbătă probabil puțină lume știa în România cine este Jeremy Corbyn.
Even today, after he became the new leader of the Labour Party in Britain, many are asking to what extent can we be affected by the choice of a politician who, after all, is not in a position to take decisions.	Chiar și astăzi, după ce el a devenit noul lider al Partidului Laburist din Marea Britanie, mulți se întreabă în ce măsură ne poate afecta alegerea unui politician care, la urma urmei, nu se află într-o poziție de decizie.
Jeremy Corbyn is the most radical leftist leader of the Labour Party after the war.	Jeremy Corbyn este cel mai radical lider stângist al laburiștilor de după război.
Avowed Marxist, anti-monarchist (at one point he asked Tony Blair, then prime minister, to eliminate the royal family from Buckingham Palace), a fierce anti-American and a supporter of Vladimir Putin (he was otherwise a regular guest of the "Russia Today" television channel, and he would comment political events). He is also a supporter of the Hezbollah and Hamas terrorist movements and wants Britain to give up nuclear weapons and withdraw from NATO and the EU.	Marxist declarat, anti-monarhist (i-a cerut la un moment dat lui Tony Blair, pe atunci prim ministru, să scoată familia regală din Buckingam Palace), un anti-american feroce și un simpatizant al lui Vladimir Putin (a fost de altfel invitat regulat să comenteze evenimentele politice de către canalul de televiziune "Russia Today"), și al mișcărilor teroriste Hizbollah și Hamas, el vrea ca Marea Britanie să renunțe la armele nucleare și să iasă din NATO și din UE.
At the time, Corbyn thought that the killing of Osama bin Laden was a true tragedy and ISIS was almost to be preferred in comparison to the United States.	Pentru Corbyn, care a considerat la vremea respectivă uciderea lui Osama bin Laden drept o adevărată tragedie, ISIS este aproape de preferat Statelor Unite.
As all populist demagogues, Corbyn has, of course, anti-austerity miracle solutions.	După modelul tuturor demagogilor populiști, Corbyn are, bineînțeles, soluții miraculoase anti-austeritate.
These kind of things were also said and promised by Tsipras in Greece until he came to close quarters with the real world and economic standards.	Lucruri de tipul celor pe care le spunea și le promitea și Tsipras în Grecia până în momentul când a dat piept cu lumea reală și legitățile economice.
The economic program of the new Labour Party leader provides, among others, massive renationalisation and money printing as a solution for projects regarding financing development and coverage of generous social benefits.	Programul economic al noului lider laburist prevede, între altele, renaționalizări masive și tipărirea de bani ca soluție pentru finanțarea proiectelor de dezvoltare și de acoperire a unor foarte generoase beneficii sociale.
Sure, some might ask why the money printing solution is not widely adopted around the globe. We would then have a general worldwide prosperity!, but who is going to beat his brain with such details.	Sigur, unii s-ar putea întreba de ce soluția cu tipărirea banilor nu este unanim adoptată pe glob, am avea atunci o prosperitate generală mondială!, dar cine să se mai împiedice de astfel de detalii.
Sure we can bleed white the bankers, who became a kind of usual enemies of the left wing, but from what we have seen so often in the past, this things have happened not only in the former communist countries or Ecuador or Venezuela, but also in France, at the beginning of Mitterrand and Hollande's mandates.	Sigur, putem să-i taxăm la sânge pe bancheri, deveniți un fel de dușmani de serviciu ai stângii, dar din câte s-a văzut de atâtea ori în trecut, nu doar în fostele state comuniste sau în Ecuador ori Venezuela, ci și în Franța, la începutul mandatelor lui Mitterand și Hollande.
Additional amounts are quickly swallowed by generous unsubstantiated pledges, made by populist demagogues.	Sumele suplimentare sunt repede înghițite de promisiunile generoase, fără acoperire, făcute de demagogii populiști.
As Margaret Thatcher used to warn, "the problem of socialism is that, at some point, you run out of other people's money".	După cum bine atrăgea atenția Margaret Thatcher, "problema socialismului este că la un moment dat se termină banii altora".
Few give Jeremy Corbyn a real chance to ever become prime minister.	Puțini îi dau șanse reale lui Jeremy Corbyn să ajungă vreodată prim ministru.
In the early 80s another radical leftist leader, Michael Foot failed miserably in the elections. His beliefs were not as extreme as the one of the newly elected party leader.	La începutul anilor '80 un alt lider radical de stânga, Michael Foot, care oricum nu era la fel de extrem în convingeri ca proaspătul lider al partidului, a eșuat lamentabil în alegeri.
But Great Britain still has a working class in the classic sense of the word, relatively consistent and structured.	Iar atunci mai exista încă în Marea Britanie o clasă muncitorească, în sensul clasic al cuvântului, relativ consistentă și structurată.
Unions were significantly more influential than they are now.	Iar sindicatele erau sensibil mai influente ca acum.
Under the new industrial landscape, where all services are dominant in the workforce regarded as a whole, and extensive automation has led to an industry that needed massive highly qualified manpower, Corbyn's rhetoric has limited appeal.	În condițiile noului peisaj industrial, în care serviciile sunt dominante în ansamblul forței de muncă, iar automatizări extinse au făcut ca în industrie să fie nevoie masiv de mână de lucru înalt calificată, retorica lui Corbyn are un apel limitat.
But even as part of the opposition, he can influence important developments that may affect us directly.	Însă, chiar din opoziție, el poate influența evoluții importante care ne pot afecta direct.
In its latest issue, the Financial Times believes that Corbyn's election increases the chances of Brexit or the withdrawal of Great Britain from the EU.	În ultimul său număr Financial Times consideră că alegerea lui Corbyn crește șansele Brexit-ului, respectiv ieșirea Marii Britanii din UE.
The new Labour Party leader has been a consistent opponent of the country's membership in the European Union.	Noul lider laburist a fost un oponent consistent al apartenenței țării la Uniune.
In the eyes of the radical left wing, Brussels is an agent of international capitalism and a promoter of globalisation which imposed austerity to the poor.	În ochii stângii radicale Bruxelles-ul este agentul capitalismului internațional și un promotor al globalizării care a impus austeritatea săracilor.
When you combine this with the kind of ideas with the ones expressed by the radical right and the anti-immigration rhetoric and you look at the refugee crisis that shakes up the EU, you get an explosive mix.	Când combini acest gen de idei cu cele exprimate de către dreapta radicală, cu retorică anti-imigrație și te uiți la criza refugiaților care zguduie din temelii UE ajungi la un mixaj exploziv.
And this is not valid only for the United Kingdom.	Și nu doar pentru Marea Britanie.
But if the British decide to leave the European Union as a result of the referendum, which would take place before 2017, the loss of symbolic capital for the entire European project and the deep fault lines created within the EU by the Euro crisis and recently by that of the refugees, between North and South, between East and West, this leaves room for the most worrying scenarios.	Însă dacă britanicii decid în urma referendumului, care ar urma să aibă loc până în 2017, să părăsească Uniunea pierderea de capital simbolic pentru întregul proiect european și faliile adânci create în interiorul acesteia de criza Euro și acum de aceea a refugiaților, între Nord și Sud, între Est și Vest, lasă loc pentru scenarii din cele mai îngrijorătoare.
The more so, since London has been a counterweight to the Franco-German axis (in which Berlin is becoming an increasingly dominant player) for a number of Member States.	Cu atât mai mult cu cât pentru o serie întreagă de state membre, Londra era o contrapondere la axa franco-germană (în care oricum Berlinul devine tot mai mult actorul dominant).
It's true that the British business environment, the City, are strong advocates for remaining a member of the EU.	E adevărat, mediul de afaceri britanic, City-ul, sunt avocați puternici ai rămânerii țării în UE.
But the Europe of today is not what it used to be.	Însă Europa de astăzi nu mai este cea din trecut.
Resentment is currently growing in intensity.	Există multe resentimente, care cresc în intensitate chiar în aceste săptămâni.
The recent speech of Jean Clude Junker also revealed a problem which is that Brussels increasingly tends to make majour decisions without consulting the great majority of Member States, asking for the opinion of just a few European powers, mainly Germany.	Problema este că Bruxelles-ul, am avut chiar recent o mostră în discursul lui Jean Clude Junker, tinde tot mai mult să ia decizii majore peste capul marii majorități a statelor membre consultându-se cu doar câteva puteri europene, în principal cu Germania.
This is happening while the electoral support for anti-system, anti-immigration parties which are Eurosceptic at the same time, increases dramatically across the continent.	Iar asta se întâmplă în condițiile în care sprijinul electoral pentru formațiunile antisistem, anti-imigrație care sunt în același timp și eurosceptice crește spectaculos pe întregul continent.
In other words, negatively charged emotional climate has reached levels higher than ever before.	Cu alte cuvinte, climatul emoțional cu încărcătură negativă a ajuns la cote mai înalte decât oricând în trecut.
Hence the conclusion that was drawn by the Financial Times when assessing the chances of Brexit.	De unde și concluzia pe care o trage Financial Times atunci când evaluează șansele Brexit-ului.
The pro-EU option is based on a cold calculation departing from national interest.	Opțiunea pro-UE se bazează pe un calcul rece care pleacă de la interesul național.
If the voters will take the decision using their brain, then Great Britain will remain in the EU.	Dacă alegătorii vor lua decizia cerebral, atunci Marea Britanie va rămâne în UE.
But Corbyn's victory reminds us of the power of emotion in the politics of today.	Dar victoria lui Corbyn ne reamintește puterea emoției în politica actuală.
Or, Eastern Europe can be significantly affected by such majour developments.	Or, Europa de Est poate fi semnificativ afectată de astfel de evoluții majore.
As expected, this will happen especially if we will see a more pronounced integration of the Eurozone, which will push most of the states in the region to the outskirts of interest and to the decision-making process in Europe.	Mai ales dacă, așa cum este de așteptat, vom asista la o integrare mai pronunțată a zonei Euro, ceea ce va împinge cele mai multe dintre statele din regiune și la periferia interesului și la aceea a procesului de decizie din Europa.
Corbyn, Tsipras and Syriza in Greece, Podemos in Spain, even Bernie Sanders in the United States feed their populist rhetoric with the frustrations accumulated in the Western world.	Corbyn, Tsipras și Syriza în Grecia, Podemos în Spania, chiar Bernie Sanders în Statele Unite își alimentează retorica populistă din frustrările acumulate în societățile oocidentale.
Due to economic and demographic reasons, the prosperity, the generous social benefits enjoyed in the last decades cannot continue in the coming years.	Din cauze economice și demografice, prosperitatea de care s-au bucurat în ultimii zeci de ani, beneficiile sociale generoase, nu mai poate continua la fel în anii următori.
Under the explosive pressure of the dual crisis, Eurozone - immigration, both caused by hasty decisions which only took into account the integration political ambitions, and not the ability and willingness of the peoples and governments of Europe to respond to such challenges, turmoil on the continent , internal tensions in the EU will increase in intensity and can greatly affect Romania's situation.	Sub presiunea explozivă a crizei duale, zona Euro - imigrație, ambele provocate de decizii pripite care nu au luat în calcul decât ambițiile politice integraționiste, nu și capacitatea și disponibilitatea popoarelor și guvernelor din Europa de a răspunde unor astfel de provocări, turbulențele de pe continent, tensiunile interne din UE vor crește în intensitate și pot afecta major situația României.
It's hard to exclude possible scenarios.	Și e greu să excluzi ceva din punctul de vedere al scenariilor posibile.
The main question is whether our political leaders are able to face such difficult situations.	Întrebarea este dacă principalii noștri lideri politici sunt în stare să facă față unor astfel de situații complicate.
Constantin Brancusi, the peasant god.	Constantin Brâncuși, zeul țăran.
Rockefeller: "How can I help you?"	Rockefeller: "Cum pot să te ajut?"
Brancusi: "Take the broom and sweep the workshop!"	Brâncuși: "Ia și mătură atelierul!"
The great sculptor had a big dream: to be somebody, to get famous, to be known worldwide.	Marele sculptor a avut un mare vis: să fie cineva, să ajungă celebru, să se audă despre el în toată lumea.
Behind his reputation there is something else, something almost forgotten today. We hear millions of success stories, recipes for success in life.	În spatele renumelui său se ascunde însă ceva aproape uitat astăzi, când ne sunt livrate milioane de povești de succes, rețete pentru reușita în viață.
That something has a name.	Acel ceva are și un nume.
It's called "hard work".	Se cheamă "trudă".
What else is there to be written about Constantin Brancusi?	Ce să scrii despre Constantin Brâncuși?
What is there to say, really?	Ce mai e de spus, de fapt?
His face has appeared on banknotes.	Figura sa a apărut pe bancnote.
Recently, a prominent bank in Romania has hired an actor to play him in a video ad.	Iar, de curând, o cunoscută bancă din România a angajat un actor care să-l joace într-un clip publicitar.
Brancusi produces and delivers money nearly 60 years after he is no longer with us.	Brâncuși produce și livrează bani la aproape 60 de ani de când nu mai e printre noi.
In Romania, there are hundreds of streets and avenues that bear his name.	În România, există sute de străzi și de bulevarde care-i poartă numele.
Moreover, even the author of this text resides on one of these streets.	De altfel, chiar și autorul acestui text locuiește pe una dintre aceste străzi.
When it comes to take the offspring out for a walk, he hears the following instructions: "We're going to the park, to Brancusi".	Iar, când iese pe afară cu odrasla, aude următoarele instrucțiuni: "Mergem în parc, la Brâncuși".
The country is full of his statues.	Țara este împânzită de statuile sale.
There are few Romanian personalities whose works are known by so many people, from children to the elderly.	Există puține personalități românești ale căror lucrări să fie cunoscute de atâta lume, de la copii, la vârstnici.
Brancusi's penetration capacity is huge.	Capacitatea de infiltrare a lui Brâncuși este una uriașă.
Even the communists have failed to extirpate him from the memory and culture of Romania.	Nici comuniștii nu au reușit să-l extirpe din memoria și cultura României.
The internet is full of his quotations, receiving hundreds of thousands of likes and shares.	Citatele sale împânzesc astăzi internetul, primind sute de mii de like-uri și share-uri.
And then again, what else is there to say, to write about this man?	Și, atunci, din nou, ce ar mai fi de spus, de scris despre acest om?
Seen from the pile of books and articles trying to reconstruct his destiny, Brancusi's life seems almost fantastic, totally improbable.	Privită din grămada de cărți și articole care încearcă să-i reconstituie destinul, viața lui Brâncuși pare aproape fantastică, total improbabilă.
You know, there are people who say that if you didn't have the luck to be born in a big city, in a wealthy family, your chances for success in life are virtually nil.	Știți, sunt acei oameni care-ți spun că, dacă nu ai avut norocul să te naști în vreun oraș mare și într-o familie cât de cât înstărită, șansele tale de succes în viață sunt aproape nule.
Brancusi's life is the perfect counterexample.	Viața lui Brâncuși este contraexemplul perfect.
And perhaps this is the key.	Și poate că aici ar fi o cheie.
Perhaps the following text should start here.	Poate că de aici ar trebui început textul care urmează.
With a verdict, however detestable it may be.	Cu o sentință, oricât de detestabile sunt acestea.
Forget the stupid success stories, which are delivered daily to you in newspapers and on television.	Uitați poveștile de succes cretine, care vă sunt livrate zilnic în ziare și la televizor.
Look carefully at the face of this man.	Priviți cu atenție figura acestui om.
Do you want to know how he succeeded in life, how the whole world heard of him?	Vreți să știți cum de a reușit în viață, cum, astăzi, de el a auzit un întreg mapamond?
It's simple.	E simplu.
He worked his whole life to become someone.	A muncit toată viața pentru a fi cineva.
That's what he did.	Asta a făcut.
Constantin Brancusi was born on 19 February 1876 in Hobița, a small village from Peștișani, Gorj county, at the foot of the Carpathians.	Constantin Brâncuși se naște la 19 februarie 1876, în Hobița, un mic sat din comuna Peștișani, județul Gorj, la poalele Carpaților.
He is the fifth child of Maria and Radu Nicolae Brancusi.	Este al cincilea copil al Mariei și al lui Radu Nicolae Brâncuși.
Although he came from a wealthy family of farmers, Brancusi lived a modest life, but one that provided his milestones which will guide his artistic vision later.	Cu toate că provenea dintr-o familie de țărani înstărită, Brâncuși duce o viață modestă, însă una din care avea să-și culeagă reperele care-i vor ghida viziunea artistică târzie.
Remembering his childhood and the places where he grew up, the artist was going to confess, in a meeting with Petre Tutea, in Paris in 1933: "Back then life was beautiful and harmonious".	Amintindu-și de copilărie și de locurile în care a crescut, artistul avea să mărturisească, într-o întâlnire cu Petre Țuțea, de la Paris, din 1933: "Pe atunci viața era frumoasă și armonioasă".
For millennia, people were living a happy, patriarchal life.	De milenii, oamenii duceau, fericiți, o viață patriarhală.
Everything progressed quietly from one season to another.	Totul trecea liniștit de la un anotimp la altul.
And you know why things changed?	Și știți de ce s-au schimbat lucrurile?
The civilization of the great city reached us.	Civilizația marelui oraș a ajuns până la noi.
But Brancusi's childhood was far from an idyllic one.	Copilăria lui Brâncuși a fost însă departe de una idilică.
One of the moments of his first years of life is highly suggestive for the combination of purity and violence that characterized the future sculptor's years spent in his hometown.	Unul dintre momentele petrecute în acești primi ani de viață este extrem de sugestiv pentru combinația de puritate și violență care i-au caracterizat viitorului sculptor anii petrecuți în localitatea natală.
The moment is reproduced in "Brancusi. A Biography" by Alexandru Buican.	Momentul este reprodus în lucrarea "Brâncuși. O biografie", scrisă de Alexandru Buican.
In 1879, Constantin Brancusi was 3 years old.	În 1879, Constantin Brâncuși avea 3 ani.
In the autumn of that year, when plum brandy was made in the alembic, Brancusi was watching those who tasted the liquid to see if the process was conducted properly, and he seized a moment of inattention.	În toamna acelui an, când se făcea țuica "la cazan", urmărindu-i pe cei care degustă lichidul ca să vadă dacă procesul se desfășoară cum trebuie, Brâncuși prinde un moment de neatenție generală.
He filled his cupped hands with brandy and drank in one gulp.	Își umple căușul palmelor cu țuică și bea pe nerăsuflate.
He fell asleep almost instantly.	Cade în somn aproape instantaneu.
The first people noticed after a few minutes.	Primii oameni observă abia după câteva minute.
His mother panicked, then became hysterical, believing her son is dead.	Mama intră în panică, apoi în isterie, crezând că fiul i-a murit.
In the evening, when his father, Radu, returned from the vineyard accompanied by musicians, he saw desperate signs in the distance, the signs of those who were breathlessly waiting for him.	Spre seară, când tatăl, Radu, se întoarce de la vie însoțit de lăutari, acesta vede din depărtare semnele disperate ale celor care-l așteaptă cu sufletul la gură.
The party immediately turned into sorrow.	Petrecerea se transformă imediat în jale.
