Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
Over at Ruby Tuesday, the company is getting new insight on its employees, and it's hoping that in the long run, this will convert to better retention of workers in an industry known for high turnover.	Společnost Ruby Tuesday získává velmi důležitý pohled na své zaměstnance a doufá, že z dlouhodobého hlediska tím dosáhne vysoké zaměstnanosti v oboru, který je znám častým propouštěním.
"If you're not committed to creating a culture of transparency, you're going to lose people," Vitrano said.	„Pokud neusilujete o vytvoření transparentního pracovního prostředí, zaměstnanci vám nebudou věřit,“ dodal Vitrano.
"And if you lose people, you're going to lose customers.	„A jakmile začnete ztrácet zaměstnance, přijdete o zákazníky.
And when you lose customers, you're going to lose companies."	A s odlivem zákazníků zkrachuje celá společnost.“
Thursday becomes the hottest day	Čtvrtek se stal nejteplejším dnem.
On Thursday, temperatures of 38.3 degrees were recorded in Strážnice in Hodonín, making it the hottest day of the year in the Czech Republic.	Čtvrtek je s 38,3 stupně zaznamenanými ve Strážnici na Hodonínsku dosud nejteplejším dnem roku v Česku.
It surpassed Tuesday, which had previously been the hottest day of the year with 37.3 degrees.	Překonal tak úterek, který byl původně nejteplejším dnem roku s 37,3 stupně.
The announcement was made by the staff of the Czech Hydrometeorological Institute.	Informovali o tom pracovníci Českého hydrometeorologického ústavu.
Elsewhere, however, many of the temperature records set on Tuesday did not fall on Thursday.	Oproti úterý ve čtvrtek ale nepadlo mnoho teplotních rekordů.
The heatwave mainly affected Moravia, while in Bohemia it was mostly cloudy.	Vedra zasáhla hlavně Moravu, v Čechách bylo převážně oblačno.
On Tuesday, records were beaten or matched in 35 of the 145 meteorological stations, which have been measuring the weather for over 30 years.	V úterý byly překonány, nebo vyrovnány rekordy na 35 ze 145 meteorologických stanic měřících přes 30 let.
Only nine long-term measuring stations saw new records set on Thursday.	Ve čtvrtek zaznamenalo rekord jen devět dlouhodobě měřících stanic.
For example, in Strážnice the temperature during the day was the same as the previous record set in 2013.	Třeba ve Strážnici byla dnešní teplota stejná jako předchozí rekord z roku 2013.
In Lednice, near Břeclav, the day time temperature reached 37.4 degrees, surpassing the original maximum by four tenths of a degree, and in Pohořelice near Brno the current temperature of 37.1 degrees exceeded the record by three tenths.	V Lednici na Břeclavsku dnešních 37,4 stupně překonalo původní maximum o čtyři desetiny stupně a v Pohořelicích na Brněnsku aktuálních 37,1 stupně převýšilo rekord o tři desetiny.
Both records was last broken in 2013, like in Strážnice.	Oba rekordy stejně jako u Strážnice pocházely z roku 2013.
The high temperatures mainly occurred in the south and east of Moravia.	Vysoké teploty se dnes objevily hlavně na jihu a východě Moravy.
After Straznice, the biggest heat was in Dyjakovice, near Znojmo, and Brod nad Dyje, near Břeclav, where the mercury climbed to 37.8 degrees, but did not beat the record.	Po Strážnici bylo největší vedro v Dyjákovicích na Znojemsku a Brodě nad Dyjí na Břeclavsku, kde se shodně vyšplhala rtuť na 37,8 stupně, ale rekord nepřekonala.
On the other hand, according to the Czech Hydrometeorological Institute (ČHMÚ), the highest daytime temperatures in western and northwest Bohemia were only about 22 degrees Celsius.	Naproti tomu například v západních a severozápadních Čechách byly podle webu ČHMÚ zatím dnešní nejvyšší teploty jen kolem 22 stupňů Celsia.
"Temperatures started growing there later in the afternoon," the meteorologists said.	"Teploty tam začaly růst až teď později odpoledne," sdělili meteorologové.
According to the Czech Hydrometeorological Institute (ČHMÚ), the current heat in the Czech Republic will fade erode and there could be heavy rain on Sunday.	Současná vedra v Česku budou podle ČHMÚ postupně odeznívat a v neděli by mohly přijít i výraznější deště.
However, temperatures in Moravia will mostly remain high on Friday, and also on Saturday in the southeast of Moravia.	Na většině míst Moravy ale zůstanou vysoké teploty ještě v pátek a na jihovýchodě Moravy i v sobotu.
A malady has spread here.	Rozmohl se nám tady takový nešvar.
It isn't enough for billionaires to have the same voice as other mere legal adults in the country during elections.	Miliardářům nestačí ten jeden stejný hlas ve volbách jako každému jednomu plnoletému člověku v zemi.
They want to adjudicate directly, and because not all of them are as bold as Andrel Babiš, who wants to own the state, they buy political parties.	Chtějí rozhodovat přímo, a protože ne všichni jsou tak drzí jako Andrej Babiš, který chce vlastnit stát, kupují si politické strany.
Along with other colleagues behind Martin Burda and Antonín Fryč, Penta owner Marek Dospiva sponsors Robejšek's Realisty.	Majitel Penty Marek Dospiva spolu s dalšími kolegy za vodou Martinem Burdou a Antonínem Fryčem sponzoruje Robejškovy Realisty.
The second life of the Občanské demokratické aliance (Civic Democratic Alliance) is funded by insurance company owner and real estate entrepreneur Pavel Sehnal, who is also its chairman	Druhý život Občanské demokratické aliance financuje majitel pojišťovny a podnikatel v realitách Pavel Sehnal, který je své straně také předsedou.
Convicted corrupter and Czech gambling king Ivo Valenta bought up the Strana soukromníků (Freeholder Party).	Odsouzený korupčník a král českého hazardu Ivo Valenta si pořídil Stranu soukromníků.
The Agrofert political movement, as the project by Andrej Babiš unintentionally named by the Mayor of Kroměříž Jaroslav Němec, deserves a whole chapter for itself.	Politické hnutí Agrofert, jak projekt Andreje Babiše nechtě pojmenoval kroměřížský starosta Jaroslav Němec, je kapitola sama pro sebe.
The Starostové a nezávislí (Mayors and Independents - STAN) recently acquired their own billionaire.	Svého miliardáře nedávno chytili také Starostové.
The man in question is Dalibor Dědek, owner of the security equipment company Jablotron.	Je jím Dalibor Dědek, majitel firmy na zabezpečovací zařízení Jablotron.
In his own words, he entered politics to do good.	Podle jeho vlastních slov vstupuje do politiky proto, aby konal dobro.
Dědek's entrance in mayoral colours did not get off to a good start, however.	Entrée ve starostenském dresu se ale Dědkovi moc nepovedlo.
"I never dreamed of small targets," he said at a press conference.	"Já jsem nikdy nesnil malé cíle," řekl na tiskové konferenci.
Which is to say that my goal is for the ANO movement, the Starostové movement to get 20 percent in the elections.	To znamená, že mým cílem je, aby hnutí ANO, aby hnutí Starostové získalo ve volbách dvacet procent.
Various people smiled to themselves.	Leckdo se pousmál.
Dědek's slip of the tongue is rather symptomatic, however.	Dědkovo přeřeknutí je ale spíše příznačné.
Millionaire Dalibor Dědek is a man of strong opinions.	Miliardář Dalibor Dědek je muž pevných názorů.
Although he intends to run for election for the Starostové, he continues to support Andrej Babiš.	Ač se hodlá ucházet o hlasy voličů v dresu Starostů, nadále podporuje Andreje Babiše.
Dědek supported Babiš in the last parliamentary elections.	Dědek totiž Babiše v minulých parlamentních volbách podporoval.
"Babiš is not a seasoned speaker and cannot handle the lively rhetoric of political snakes," he wrote about him before the 2013 elections.	"Babiš není ostřílený řečník a nevládne líbivou rétorikou politických hadů," psal o něm před volbami 2013.
He certainly is not going into politics because he wants to improve himself personally.	Rozhodně ale nejde do politiky proto, že by si chtěl osobně polepšit.
Babiš will remain a hero to me.	Pro mě Babiš hrdinou zůstane.
He is willing to step out of his world, which he has under control, and do something for all of us.	Je ochoten vystoupit ze svého světa, který má pod kontrolou, a udělat něco pro nás všechny.
Shortly after the Starostové introduced him as a new reinforcement, he professed his admiration for Babiš once again.	Krátce poté, co jej Starostové představili jako novou posilu, se vyznal ze svého obdivu k Babišovi znovu.
He said he wanted the Starostové to learn to imagine a possible collaboration with Babiš.	A řekl, že chce, aby se Starostové naučili si možnou spolupráci s Babišem představit.
Some people may appreciate the fact that Dědek sticks to his opinions and stands up for himself, no matter what team colours he is wearing.	Někteří mohou ocenit, že Dědek nemění své názory a stojí si za svým bez ohledu na to, jaký dres zrovna nosí.
Others may speculate whether Babiš is sending someone so awkward to the Starostové to create a second rate version.	Jiní mohou spekulovat, zda Babiš posílá ke Starostům budovat své béčko někoho takhle nemotorného.
Others still may ask whether the boss of Jablotron parted ways from the boss of Agrofert as part of a bad business deal, and is now looking for another way to defend himself against his business rival.	Další se mohou ptát, zda se šéf Jablotronu třeba s šéfem Agrofertu nerozešel ve zlém v obchodě a nehledá jinou cestu, jak se svému obchodnímu rivalovi bránit.
Dědek's first public appearances did not all revolve around Babiš, however.	První Dědkova veřejná vystoupení se ale netočila jen kolem Babiše.
Dědek promised to send the Starostové ten million crowns for the campaign.	Dědek slíbil, že Starostům pošle na kampaň deset milionů korun.
And when they say they need more money, he will send more.	A když prý budou potřebovat další peníze, pošle víc.
A few years ago, it would have been very hard for someone to take exception to such a statement.	Před několika lety by se nad podobným výrokem těžko kdo pozastavil.
Indeed, before the 2010 elections the legally recognised crook Zdeněk Bakala gave away millions to all the parties.	Ostatně soudně uznaný gauner Zdeněk Bakala před volbami v roce 2010 rozhazoval miliony na všechny strany.
The political division of Vit Bárta's security agency, TOP 09, and the Civic Democrats came together for nearly thirty million.	Politická divize bezpečnostní agentury Víta Bárty, TOP 09 a občanští demokraté si takhle dohromady přišli na bezmála třicet milionů.
We are now living in different times, however.	Jenže dnes je jiná doba.
The law forbids anyone to give more than three million to a political party.	Zákon zakazuje, aby kdokoliv politické straně dal více než tři miliony.
When Dědek entered politics, he could at least have studied the rules of the game.	Když už Dědek vstupuje do politiky, mohl si alespoň nastudovat pravidla hry.
Perhaps then he would not have had to ask why politics has such a bad reputation in our country.	Možná by si pak nemusel klást otázku, proč má u nás politika tak špatnou pověst.
Dědek's first days in politics were topped off with a proposal to give tax benefits to families with children who are studying.	Své první dny v politice pak Dědek korunoval návrhem na daňové zvýhodnění rodin se studovanými dětmi.
People with a university education earn about 50,000 crowns per month in our country.	Lidé s vysokoškolským vzděláním si u nás měsíčně přijdou zhruba na padesát tisíc.
Those with only basic education earn less than 20,000.	Ti se základním na necelých dvacet.
Someone earning 50,000 is rich under the local conditions.	Člověk s padesáti tisíci je na zdejší poměry bohatý.
Those earning 20,000 are poor.	Ten s dvaceti chudý.
In Dědek's view, the poor pay taxes fairly, and the rich should enjoy the benefits of the welfare state, in which they participate very little.	V Dědkově vizi společnosti chudí poctivě platí daně a bohatí si užívají výhod plynoucích z fungování sociálního státu, na jehož chodu se příliš nepodílejí.
In short, rich people must be helped so that they do not have to face poverty.	Bohatým je zkrátka třeba pomoci, aby nedřeli bídu s nouzí.
The Starostové can congratulate themselves for their new acquisition and Babis is rubbing his hands.	Starostové si ke své nové akvizici mohou vzájemně gratulovat a Babiš si mnout ruce.
Thanks to Dědek, the rest of us can confirm the fact that billionaires are not good people.	My ostatní si i díky Dědkovi můžeme potvrdit, že miliardáři nebývají hodní lidé.
The question remains of who to vote for.	Zůstává pak ještě otázka, koho volit.
To my mind, it should be those who know the rules of the game and want to follow them.	Za mě ty, kdo znají pravidla hry a chtějí je dodržovat.
It should be the people who don't employ their own party members or citizens of the state and who don't own parts of the country.	Ty, kdo členy a členky své strany ani občany a občanky státu nemají za své zaměstnance a zemi za svůj majetek.
Finally, it should be the people who want everyone to live well in a rich country, and not just the few.	A nakonec ty, kteří chtějí, aby se v bohaté zemi žilo dobře všem lidem, nejenom některým.
Nobody wanted Trump's paradise.	Trumpův ráj nikdo nechtěl.
He had to reduce the price of his villa complex by 234 million.	Vilový komplex musel zlevnit o 234 milionů.
Selling real estate isn't always easy.	Prodej nemovitosti někdy není snadný.
Often, it isn't even helped by having 11 bedrooms and a wonderful view of the sea, or by the fact that the property is being sold by US President Donald Trump.	A mnohdy mu nepomůže ani 11 ložnic, nádherný výhled na moře, nebo fakt, že nemovitost prodává prezident USA Donald Trump.
When selling the Le Chateau des Palmiers villa complex, the price had to be reduced by a staggering £8 million.	Při prodeji vilového komplexu Le Chateau des Palmiers šla cena dolů o neuvěřitelných 8 milionů liber.
The Mirror.co.uk reported on the sale.	Informoval o tom web Mirror.co.uk.
The brochure describing the lots states: "Sincerely, Donald J. Trump."	V brožuře se o pozemku píše: "S pozdravem, Donald J. Trump."
You missed out on a place like no other.	Unikněte na místo jako žádné jiné.
But not even a connection between the the real estate company and the US president could support an extreme price tag.	Jenže ani spojení realitní společnosti s americkým prezidentem neobhájilo extrémní cenovku.
Donald Trump had to slash the price of his Caribbean home by an incredible £8 million.	Donald Trump musel snížit cenu svého karibského sídla o neuvěřitelných 8 milionů liber.
The original price of the property was £21.5 million, but the final price dropped to £13 million.	Původní cena nemovitosti byla 21,5 milionu liber, konečná cena klesla na 13 milionů liber.
Even after the discount, the price of the villa complex is equivalent to about 76 average apartments in the centre of Prague.	I po slevě tedy vilový komplex stojí asi jako 76 průměrných bytů v centru Prahy.
And no wonder.	A není se čemu divit.
It consists of amazing 5-acre estate on the Caribbean island of St. Martin, with 12 fully equipped bathrooms, 11 bedrooms, numerous dining rooms, a gym and other rooms.	Úchvatné sídlo o rozloze 5 akrů na karibském ostrově Svatý Martin disponuje 12 plnohodnotnými koupelnami, 11 ložnicemi, mnoha jídelnami, posilovnou a jinými místnostmi.
It includes several buildings.	Skládá se z několika budov.
Part of the property has a swimming pool and a tennis court.	Součástí pozemku je i bazén a tenisový kurt.
There are dozens of palms planted on the plot.	Na pozemku jsou vysázené desítky palem.
There is a wonderful view of the sea from the terrace.	Z terasy je nádherný výhled na moře.
According to real estate experts, the price reflected the fact that the connection with the president is not enough to attract potential buyers.	Podle realitních expertů se na ceně projevil fakt, že spojení s prezidentem není dostatečné pro přilákání potenciálních kupujících.
Now the estate is closer to normal property prices on the island.	Nyní je nemovitost blíže běžným cenám nemovitostí na ostrově.
Trump bought the property in 2013.	Trump koupil nemovitost v roce 2013.
According to speculations, he is thought to have paid about £15 million.	Podle spekulací zaplatil kolem 15 milionů liber.
He bought it as a rental property.	Nemovitost měl koupit pro účely pronájmu.
Le Chateau des Palmiers was the most expensive property on the island of Saint Martin,	Le Chateau des Palmiers byla nejdražší nemovitost na ostrově Svatý Martin.
but now with the new price, it is in second place.	S novou cenou se ale řadí na druhé místo.
Another property in the neighbourhood was valued at £13.5 million.	Nemovitost v sousedství byla oceněna na 13,5 mil. liber.
The NCAA's elimination of two-a-day practices makes for a long day for the Bruins	NCAA se rozhodla skoncovat se dvěma tréninky denně. Pro Bruins nastávají dlouhé dny
It's pushing 11 p.m. as a throng of UCLA football players linger to chat on one side of the team's new on-campus practice fields.	Blíží se jedenáctá dopolední a hráči amerického fotbalu univerzity UCLA se mačkají u postranní čáry nového školního hřiště.
Some have peeled off their jersey tops, revealing backs slick with sweat from the toil of the first day of training camp.	Někteří z nich si svlékají dresy a odhalují zpocená záda, neklamný znak prvního dne tréninkového kempu.
For a good chunk of the team, these idle minutes constitute a midday break.	Pro většinu členů týmu těchto několik minut nicnedělání supluje polední pauzu.
Players enrolled in summer classes will head back to their dorms after the three-hour practice to study for final exams before returning to the Wasserman Football Center for meetings at 6:30 the following morning.	Hráči zapsaní v letním semestru odejdou do pokojů po tříhodinovém tréninku, aby studovali na závěrečné zkoušky, než se vrátí do Wasserman Football Center na setkání, které se koná nadcházejícího rána v 6:30.
"This is a grind for these guys the next three days," Bruins coach Jim Mora said not long before Monday turned into Tuesday.	„Pro tyhle kluky budou příští tři dny pořádná makačka,“ uvedl trenér Bruins Jim Mora chvíli před tím, než se pondělí přehouplo v úterý.
The NCAA's elimination of two-a-day practices, designed to lighten the load on players, has actually lengthened their days - at least until finals end Friday.	Vyřazením dvou tréninků v jeden den chce NCAA odlehčit hráčům - paradoxně jsou tím tréninkové dny ještě delší - alespoň tedy do pátku, kdy končí závěrečné zkoušky.
That's why UCLA's first three practices were scheduled to begin at 7:15 p.m. to accommodate players' already crammed schedules.	To je důvod, proč jsou první tři tréninky UCLA naplánovány na 19:15 - aby se vtěsnaly do již tak přecpaných diářů mnoha studentů.
The trade-off from no two-a-days is more one-a-days, the Bruins pushing up the start of camp nearly a week from last season and holding practices during summer school for the first time during Mora's six seasons in Westwood.	Vůbec poprvé za šest sezón, které strávil Mora na pozici trenéra ve Westwoodu, začíná tréninkový kemp Bruins o týden dříve než minulý rok a tréninky jsou po dobu letního semestru omezeny. Svůj vliv na tom má též rozhodnutí omezit počet tréninků ze dvou na jeden denně.
They are scheduled to hold 18 practices through Aug. 20 before beginning formal game preparations for their opener against Texas A&M on Sept.	Celkem je naplánováno osmnáct tréninků do 20. srpna, načež začínají formální přípravy na první zápas proti týmu Texas A&M, který se koná v září.
Mora said he supported the NCAA's rule change even if it did add another item to players' busy itineraries.	Mora se nechal slyšet, že podporuje rozhodnutí NCAA, přesto, že přidalo další položku do již tak nabitého diáře hráčů.
"We're putting this enormous load on them for three or four days and it's very challenging," Mora said.	„Tři nebo čtyři dny jsou hráči pod velkým stresem a je to pro ně velmi vyčerpávající,“ řekl Mora.
"And they've just pushed through it; they grind, they're great kids.	„Ale nikdo to nevzdal, všichni se snaží. Jsou skvělí.
I think once we get to Saturday and we'll have more time, it will really be great."	Myslím, že v sobotu, až budeme mít více času, se všechno uklidní.“
UCLA will close its practices once camp is finished, no easy task given the clear sight lines of its fields from an adjacent parking lot and the adjoining Luskin Center, an upscale hotel that has already been pelted with footballs that cleared a protective net behind a goalpost.	UCLA bude uzavřena po skončení tréninkového kempu, což nebude snadné při pohledu na jasné linie okolních pozemků z přilehlého parkoviště a luxusního hotelu Luskin Center, který obsadili hráči po sklizení ochranné sítě za brankovou tyčí.
Bruins players are scheduled to occupy the hotel beginning this weekend, but Mora acknowledged that there could be an issue once those rooms are vacant during the season.	Hráči Bruins by měli hotel obsadit počínaje tímto týdnem, ale Mora uznává, že až se pokoje vyprázdní během sezóny, mohl by nastat problém.
"We will have security," Mora said.	„Pozemek bude hlídat bezpečnostní služba,“ dodal Mora.
"That is a real concern and it's not far-fetched to think that people can rent a room and sit up there and videotape a practice.	„O bezpečí je postaráno, ale není vyloučeno, že si někdo může pronajmout pokoj a nahrávat si naše tréninky.
If you have videotape of a practice, it's a pretty good deal.	S takovým materiálem se dobře obchoduje.
But we'll have security there and we'll have security up in Parking Lot 8.	Hotel bude naštěstí hlídat ochranka, stejně jako parkoviště č. 8.
We'll do the best we can with what we got.	Využijeme na maximum své prostředky.
I'm not going to worry too much about it.	Věřím, že vše dobře dopadne.
We have a plan in place."	Vše je naplánované.“
Facebook to step up fact-checking in fight against fake news	Facebook plánuje důkladnější kontrolu faktů, aby omezil počet falešných zpráv
Facebook is to send more potential hoax articles to third-party fact checkers and show their findings below the original post, the world's largest online social network said on Thursday as it tries to fight so-called fake news.	Facebook bude zasílat více potenciálně falešných článků ke kontrole třetím stranám a zobrazovat zjištění pod původními příspěvky ve snaze bojovat proti takzvaným „fake news“, uvedla největší sociální síť ve čtvrtek.
The company said in a statement on its website it will start using updated machine learning to detect possible hoaxes and send them to fact checkers, potentially showing fact-checking results under the original article.	Společnost v prohlášení na svých webových stránkách píše, že začne používat aktualizované strojové učení k detekci možných hoaxů, jež bude zasílat třetím stranám k ověření a potenciálně zobrazovat výsledky průzkumu pod původními příspěvky.
Facebook has been criticized as being one of the main distribution points for so-called fake news, which many think influenced the 2016 U.S. presidential election.	Facebook byl označován za jeden z hlavních zdrojů falešných zpráv a mnozí se domnívají, že tyto nepotvrzené zprávy ovlivnily loňskou volbu prezidenta Spojených států.
The issue has also become a big political topic in Europe, with French voters deluged with false stories ahead of the presidential election in May and Germany backing a plan to fine social media networks if they fail to remove hateful postings promptly, ahead of elections there in September.	V Evropě se o celé záležitosti vedou politické debaty. Francouzští voliči jsou zaplaveni lavinou falešných zpráv o květnových prezidentských volbách a Německo plánuje s předstihem před zářijovými volbami uvalit pokutu na síť sociálních médií, jestliže urychleně neodstraní hněvivé příspěvky.
On Thursday Facebook said in a separate statement in German that a test of the new fact-checking feature was being launched in the United States, France, the Netherlands and Germany.	Facebook ve čtvrtek ve svém dalším prohlášení vydaném v Německu uvedl, že chystá spuštění testování nové funkce kontroly falešných zpráv v USA, Francii, Nizozemsku a Německu.
"In addition to seeing which stories are disputed by third-party fact checkers, people want more context to make informed decisions about what they read and share," said Sara Su, Facebook news feed product manager, in a blog.	„Kromě zobrazování zpráv ověřených třetími stranami si lidé žádají více obsahu, aby byli lépe informování a mohli se správně rozhodnout o tom, co mohou sdílet,“ uvedla na svém blogu Sara Su, produktová manažerka zpravodajství společnosti Facebook.
She added that Facebook would keep testing its "related article" feature and work on other changes to its news feed to cut down on false news.	Dodala, že společnost Facebook pokračuje v testování funkce „související články“ a pracuje rovněž na dalších změnách s cílem snížit počet falešných zpráv.
Building a graphic novel: A Castle in England's story	Tvorba grafické novely: příběh o A Castle in England
In its recent past, the diminutive Scotney Castle has featured in a Squeeze music video and been a bolthole for Margaret Thatcher during the 1970s and 1980s.	Malý hrad Scotney Castle si nedávno zahrál hlavní roli v hudebním videoklipu skupiny Squeeze a své útočiště v něm nalezla také Margaret Thatcherová během 70. a 80. let minulého století.
But Scotney has witnessed 700 years of tumultuous history from its cosy seat in Bewl River valley in Kent, now inspiration for a graphic novel written by Jamie Rhodes, a mop-haired Yorkshireman with a penchant for historical documents.	Scotney však byl ze svého útulného místečka u řeky Bewl v britském Kentu svědkem 700 let bouřlivé historie, která inspirovala kudrnatého Jamieho Rhodese z Yorkského hrabství - známého zálibou v historických dokumentech - k vytvoření grafické novely.
"I find it so beautiful to look at the handwriting of someone who has been dead for 300 years," he says wistfully.	„Pohled na písmo člověka, který je 300 let po smrti mě fascinuje,“ říká Rhodes s vážnou tváří.
"What a personal connection, to hold that letter in my hand."	„Když držím v rukou dopis, cítím osobní spojení.“
Spanning the middle ages to the Edwardian era, A Castle in England documents the families that lived in Scotney, with each story illustrated by a different, upcoming UK artist - Isaac Lenkiewicz, Briony May Smith, William Exley, Becky Palmer and Isabel Greenberg.	Grafická novela A Castle in England dokumentuje život rodin, které přebývaly na hradě Scotney od středověku až do Eduardovského období. Každý příběh ilustruje odlišný britský umělec - Isaac Lenkiewicz, Briony May Smithová, William Exley, Becky Palmerová a Isabel Greenbergová.
It is not Rhodes's first book based on an archive: he also wrote 2014's Dead Men's Teeth and Other Stories, a collection inspired by documents in the British Library - a project he found unexpectedly emotional.	Není to však první Rhodesova kniha inspirovaná archivy: je rovněž autorem Dead Men's Teeth and Other Stories (2014), kolekce inspirované dokumenty Britské knihovny - projektu, který pro něj byl velmi emocionální.
"I welled up at just the thumbprint on the side of a letter, written by a double agent in the 1700s who was working for the Jacobites," he says.	„Zaujal mne otisk palce na dopise, který napsal dvojitý agent v 70. letech, jenž pracoval pro Jakobity,“ řekl.
"That's his thumbprint!	„To je otisk jeho palce!
And letters always smell like smoke because, back then, you lit a fire for light.	A dopisy vždy voní jako kouř, protože v oněch časech jste si museli ke čtení zapálit svíčku.
To someone 300 years in the future, the smell makes it feel like they're there, too.	Když si k dopisu přičichnu teď, o 300 let později, je to, jako bych se vrátil v čase.
Ah, I love archives!"	Jak já miluji archivy!“
For someone so smitten with old papers, getting support from the National Trust and Arts Council England and living in a castle for almost four months ("I overstayed my welcome a little bit, to be honest") seems too good to be true.	Pro někoho, kdo je tak fascinován starými papíry, je podpora ze strany organizace National Trust a Arts Council England a možnost přebývat téměř čtyři měsíce na hradě téměř jako sen. („Abych pravdu řekl, pobyt jsem si trochu prodloužil.“)
Rhodes spent his days exploring the Victorian "new" castle, going through the archives and studying the manor's many treasures and curios, such as the mounted hyena heads on the walls and bottles that had spent centuries in the moat.	Rhodes trávil čas zkoumáním viktoriánského „nového“ hradu, procházením archivů a studováním mnoha pokladů a kuriozit, jako např. hlavou hyeny na stěně a lahvemi, které byly pohozeny po staletí v příkopu.
He wandered the grounds and the ruins of the old castle, talking to rangers, gardeners and sometimes the artists at work on his book's illustrations.	Procházel se po pozemku a zkoumal ruiny starého hradu, hovořil s hajnými, zahradníky a občas také s umělci, kteří pracovali na ilustracích k jeho knize.
Then at night, he'd "drink whiskey and get writing."	V noci „popíjel whiskey a psal“.
The intimate history of Scotney is relatively unknown, as the National Trust had only gained full access in 2006 when the final heir, Elizabeth Hussey, died.	Důvěrná historie Scotney je relativně velkou neznámou, jelikož organizace National Trust získala přístup k dokumentům až v roce 2006 po smrti posledního dědice, Elizabeth Husseyové.
When Rhodes arrived a decade later, staff were only starting to tackle the archive, which he describes as "hundreds of years of aristocrats going: 'Oh, stick it in the loft'."	Když Rhodes dorazil na místo o deset let později, zaměstnanci začínali teprve pronikat do archivů, které Rhodes popsal slovy, jako když „aristokraté mnohých staletí rozhazují rukama se slovy: ‚Zaneste to do podkroví'.“
Diaries, letters from the days of the English empire, maps outlining who owned what: "You'd think land disputes would be boring," says Rhodes, "but there was this one birch tree two families were fighting over.	Deníky, dopisy z dob Britského impéria, mapy znázorňující majetky: „Možná si myslíte, že spor o pozemky je nudný,“ řekl Rhodes, "ale narazil jsem na jeden případ, kdy se dvě rodiny přetahovaly o břízu.
Just let it go, guys!"	Nechte toho lidi!“
Some of the stories in the collection use the castle as a jumping-off point to delve more broadly into English history, including The Labourer, which follows a man who leaves the newly built castle to join the 1381 Peasants' Revolt.	Některé příběhy v knize využívají hrad jako odrazový můstek a noří se hlouběji do anglické historie, včetně příběhu s názvem The Labourer, který sleduje muže, jenž opustí nově budovaný hrad, aby se připojil k Anglickému povstání roku 1381.
"There is a record of a riot happening at the castle in 1380, in this book called the Knightly Families of Kent and Sussex," says Rhodes.	„Našel jsem záznam o vzpouře na hradě z roku 1380, která byla v knize nazvána Knightly Families of Kent and Sussex,“ řekl Rhodes.
"The Peasants' Revolt started in that area and I thought, a riot is a good place to start.	„Anglické povstání ve skutečnosti začalo v této oblasti a napadlo mě, že vzpoura je dobrým výchozím bodem.
Maybe the two are connected?"	Možná spolu nakonec nějak souvisí.“
Other stories are rooted firmly in the history of the castle - such as The Priest, which tells the tale of the Jesuit priest whom the Darrell family hid for seven years during the English Reformation.	Ostatní příběhy jsou pevně spjaty s historií hradu - například The Priest, který vypráví příběh jezuitského kněze, jehož ukrývala Darrellova rodina po sedm let během anglické reformace.
Or The Smuggler, which features 18th-century contrabander Arthur Darrell, who is thought to have staged his own funeral by filling a coffin with rocks (a discovery made years later when his coffin was unearthed).	Nebo The Smuggler o pašerákovi z 18. století jménem Arthur Darrell, který údajně zinscenoval vlastní pohřeb, když naplnil rakev kameny (což se zjistilo až několik let poté po odkrytí rakve).
The Darrells are Rhodes's favourite Scotney family: "The gentlemen seemed to be quite roguish, always getting into debt and spending money on things they couldn't afford.	Rhodesovou oblíbenou rodinou jsou Darrellovy: „Zaujalo mě mužské pokolení - tehdejší muži byli vždy zadlužení a utráceli peníze za věci, které si nemohli dovolit.
Different generations of Darrell men solved their debt crises by marrying rich old women - I imagine them as a bunch of handsome guys, with a knack for wooing heiresses."	Různé generace rodiny Darrellů to řešily tím, že si brali bohaté nebo staré paničky - představuji si, že to byli pohlední pánové, kteří s oblibou motali hlavy dědičkám.“
With his assignment in the castle over, Rhodes is on the hunt for other singular writing experiences.	S ukončením pobytu na hradě pátrá Rhodes po dalších dobrodružstvích.
He has completed a two-week stint in the Finnish wilderness for a graphic novel about Elämänmäki, the site of an early 20th-century sanatorium that has since been reclaimed by nature.	Nedávno se vrátil z dvoutýdenní štace ve finské divočině, kde nasával inspiraci pro svou další knihu o Elämänmäki, což je bývalé sanatorium z počátku 20. století, které bylo pohlceno přírodou.
But Scotney holds a special place for him.	Pro Scotneyho je to však zvláštní místo.
"I was sad to leave," he says.	„Byl jsem smutný, když jsem odjížděl,“ uvedl.
"It was like: 'Ah, I've got to go deal with fucking real life now.'"	„Říkal jsem si: ‚Teď abych se sakra vrátil do reálného života'.“
Washington Changes the Green Card Rules	Washington mění podmínky udělování zelené karty
There is going to be new US immigration plan to modify Green Card rules, President Donald Trump said, quoted by the media.	Média zveřejnila slova prezidenta Donalda Trumpa o novém imigračním plánu USA, v jehož rámci dojde také na změnu při udělování zelené karty.
It envisages reducing legal immigrants to 50,000 per year, stricter rules for obtaining temporary work visas and restrictions on family-oriented visas.	Předpokládá se, že počet legálních imigrantů tak meziročně klesne o 50 000 v důsledku přísnějších pravidel k udělování dočasných pracovních víz a omezení rodinných víz.
The new rules are proposed by the Republicans and are supported by the president.	Nová pravidla navrhují republikáni a prezident.
The draft law is due to be discussed in the two chambers of Congress.	Návrh zákona bude brzy předložen Kongresu.
