This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
It is thanks to them that we constantly discover treasures, precious testimonies to rebuild History, understand societies, and the example here of comparative archeology is exciting.	C’est grâce à eux que l’on découvre constamment des trésors, des témoignages précieux pour reconstituer l’Histoire, comprendre des sociétés, et l’exemple ici d’archéologie comparative est passionnante .
This method is not very old and before archaeologists trusted their "instinct" and their knowledge, and could be mistaken.	Cette méthode n’est pas très ancienne et auparavant les archéologues se fiaient à leur « instinct » et leurs connaissances, et pouvaient se tromper.
Nowadays we have technical and scientific means that are so effective that interpreting excavations is better but can still be called into question by other discoveries!	De nos jours on dispose de moyens techniques et scientifiques tellement performants que l’interprêtation des fouilles est meilleure mais peut toujours être remise en cause par d’autres découvertes !
We are right in the middle of (and an old) controversy on shamanism moved forward by the prehistorian Jean Clottes (see his book "The shamans of prehistory", particularly the re-edition increased with scientific controversy, published by La Maison des Roches editions).	L’on est là en pleine (et vieille) polémique sur le chamanisme avancé par le préhistorien Jean Clottes (cf son livre « Les chamanes de la préhistoire », particulièrement la ré-édition augmentée de la controverse scientifique, parue aux éditions La Maison des Roches).
Thank you for this highly instructive article.	Merci pour cet article fort instructif
Straight guys are anal?	Les hommes hétéros aiment le sexe anal ?
For you Mike I could be.	Pour vous Mike, je pourrais m'y mettre.
So it´s over between us ?	Alors c'est fini entre nous ?
I don't really see Why can't we go on as three?	Je ne comprends pas vraiment Pourquoi ne pouvons-nous pas continuer à trois ?
This purports to be a mature newspaper, for grown ups.	Ce journal est censé être sérieux, fait pour des adultes.
Do you really feel the need to descend to the level of the gutter?	Avez-vous vraiment besoin de tomber dans le caniveau ?
No, but we're not averse to watching a play about it.	Non, mais nous ne sommes pas contre une pièce de théâtre là-dessus.
We'd not watch a musical about it, though — that really would be too gay!	Nous ne pourrions pas regarder une comédie musicale là-dessus en revanche, ça ce serait trop gay !
Might have known we'd get this sort of comment from you.	On pouvait s'attendre à avoir ce genre de commentaire de votre part.
It seems Mary Whitehouse has arisen from her grave	On dirait que Mary Whitehouse est revenue d'entre les morts.
Might I suggest as your months trial is nearly up you move on to the Catholic Times.	Puisque votre offre d'essai est presque terminée, puis-je vous suggérer de passer au Catholic Times.
I am sure you will be more at home.	Je suis sûr que vous vous sentirez plus chez vous.
He prefers mikedow.	Il préfère mikedow.
Might I suggest that we all find a newspaper that pays its brave, real journalists to report on The Midle East, Ebola etc, at genuine personal risk.	Puis-je suggérer que nous cherchions tous un journal qui paie de vrais journalistes, courageux, pour qu'ils écrivent sur le Moyen Orient, Ébola, etc. à leurs risques et périls.
Rather than this sniggering, puerile bottom humour.	Plutôt que de faire ricaner avec ces blagues de cul puériles.
Not clever.	Pas très malin.
Run along then.	Allez-vous-en alors.
If you're so offended by 'peurile bottom humour' then you don't have to participate, do you?	Si ces « blagues de cul puériles » vous choquent tellement, vous n'êtes pas obligé de participer, n'est-ce pas ?
You do also know that this paper is today covering the Middle East and Ebola and that it's perfectly possible to do both and publish a piece about anal sex?	Vous savez aussi que ce journal couvre également le Moyen-Orient et Ébola et qu'il est tout à fait possible de faire les deux et de publier un article sur le sexe anal ?
Is it the topic that offends you, or that people have a laugh with it?	Est-ce le sujet qui vous choque, ou le fait que les gens en rigolent ?
Nevertheless, the amateur video of the crash is found on the net...	Néanmoins on trouve la vidéo amateur du crash sur le net…
amateur video of the crash on the net...??	vidéo amateur du crash sur le net… ??
If the FOM chose not to show these images, it is only to protect its interests, on no account the driver's.	Si la FOM a choisi de ne pas montrer ces images c’est uniquement pour protéger ses intérêts en aucun cas ceux du pilote.
If the FOM had wanted to protect the drivers, it would have taken out the safety car at the moment when another vehicle (breakdown lorry, for example) entered the circuit.	Si la FOM avait voulu protéger les pilotes elle aurait sortie la safety car au moment ou un autre véhicule (dépanneuse par exemple) entrait sur le circuit.
But it was necessary to finish quickly before the typhoon, which was known was coming, but for which the FOM did not deem it appropriate to bring forward the starting time (television rights, adverts, money...).	Mais il fallait finir vite avant le typhon dont on savait qu’il arrivait, mais pour lequel la FOM n’a pas jugé bon d’avancer l’heure du départ (droit télé, pub, argent…).
But apart from that they protect the drivers well.	Mais à part ça ils protègent bien les pilotes.
Well read, I also share this opinion.	Bien vu, je partage aussi cet avis.
But also that if the very British FOM makes the SC enter, it is going to enable Nico Rosberg at the restart to have a chance of beating the Englishman, who was leading then...	Mais il y a aussi que si la très british FOM fait entrer la SC, elle va permettre à Nico Rosberg d’avoir au restart une chance de battre l’anglais qui menait alors…
Your really let go on this blog my dear Dayrton.	Vous vous lâchez sur ce blog mon cher Dayrton.
But it does not matter, I have a little bit of time to flush out all your stupidities.	Mais c’est pas grave, j’ai un peu de temps pour débusquer toutes vos c*****ries.
No, just no.	Non, juste non.
There were loads of conspiracies in F1, but never one which puts stewards in danger of death for a remote story of the possibility of the victory of a driver to the detriment of another.	Il y’a eu des tas de conspirations en F1, mais jamais une qui met des commissaires en danger de mort pour une lointaine histoire de possibilité de victoire d’un pilote au détriment d’un autre.
It is not the FOM that takes out the safety car it is the FIA.	Ce n’est pas la FOM qui sort la safety car c’est la FIA.
Significant difference.	Nuance de taille.
In view of amateur images, the lack of images enables the FIA above all to avoid annoying questions such as: How is it possible that the steward is waving a green flag mid-operation and continues to do so after the accident (see the full video after the accident)	Au vu des images amateurs, l’absence d’image permet surtout à la FIA d’éviter les questions gênantes du type : Comment se fait-il que le commissaire agite un drapeau vert en pleine intervention et continue à le faire après l’accident (voir le vidéo complète après l’accident)
No, it is not because the video is deemed too violent that the FIA blocks the images of the accident but because one of the stewards is clearly seen waving a green flag, a sign that the race can continue normally and that it is no longer under the control of the yellow flag.	Non, ce n’est pas parce que la vidéo est jugée trop violente que la FIA bloque les images de l’accident mais parce que l’on voit clairement un des commissaires agité un drapeau vert, signe que la course peut reprendre normalement et que l’on est plus sous régime de drapeau jaune.
Certain comments show a dark ignorance of F1.	Certains commentaires montrent une sombre méconaissance de la F1.
Yes dear Etienne, the race is no longer under the control of the yellow flag AFTER the place of the accident, hence the green flag is flown.	Oui cher Etienne, la course n’est plus sous régime de drapeau jaune APRES le lieu de l’accident, d’où le drapeau vert agité.
This is the usual procedure.	C’est la procédure habituelle.
The stewards' post just after the accident (depending on the case, this can be 10 meters or 100 meters after the accident) is waving the green to tell the drivers to resume a normal speed.	Le poste de commisaires juste en aval de l’accident (selon les cas, ça peut être à 10mètres comme à 100mètres après l’accident) agite le vert pour dire aux pilotes de reprendre une allure normale.
Sensationalism sells advertising.	Le sensationnalisme fait vendre de la pub.
I used to think that the media were an integral part of the government's 'patriotic' propaganda offensive but I'm afraid that, in the end, it's just the money.	Avant je pensais que les médias faisaient partie intégrante de l'offensive de propagande « patriotique » du gouvernement mais j'ai bien peur que, en fin de compte, c'est juste pour l'argent.
And sex, lets not forget sex, fear of not getting sex, adverts and the media are good at selling us things that may lead us to better sex.	Et le sexe, n'oublions pas le sexe, la peur de ne pas avoir de vie sexuelle, la pub et les médias sont bons pour nous vendre des choses censés améliorer notre vie sexuelle.
The news does the very same thing.	Les infos font exactement la même chose.
Hyping things up that the public really don't need to fret about and that's all about keeping people scared so they remain controllable.	Faire le buzz avec des infos dont on n'a vraiment pas besoin de se soucier c'est juste pour continuer à faire peur aux gens pour pouvoir continuer à les contrôler.
"When the tabloids cough up an Ebola story, we all catch the fear" Should be “cook up”, not “cough up”.	« Quand les tabloïds toussent à propos d'Ébola, nous attrapons tous la peur » Ça devrait être « déraillent », pas « toussent ».
Given the health connotations of the word 'cough', 'cough up' is a far more effective turn of phrase than 'cook up' in this context...	Étant donné la référence médicale, « tousser » est bien mieux dit dans ce contexte que « dérailler ».
I wonder if all the people yelling that Ebola may become airborne realise they now believe in evolution?	Je me demande si tous les gens qui s'affolent qu'Ébola pourrait se mettre à se propager par voie aérienne se rendent compte qu'ils croient maintenant à l'évolution ?
You are giving them too much credit.	Vous leur faites trop d'honneur.
They probably believe that it is the end of the world and ebola is just one of the signs of the impending apocalypse.	Ils pensent probablement que voilà la fin du monde et qu'Ébola est juste l'un des signes de l'apocalypse qui approche.
Ebola is the Anti-Christ!	Ébola c'est l'Antéchrist !
You're confusing ebola with murdoch....	Vous confondez Ébola et Murdoch...
Great article, thanks!	Super article, merci !
A succinct piece that successfully and soundly ridicules this abhorrent pseudo journalism.	Un article court et concis qui ridiculise joliment et solidement ce pseudo-journalisme abject.
That gave me a good laugh.	Ça m'a bien fait rigoler.
It depresses me that the media report most things in this reverse positive way.	Ça me déprime que les médias parlent de la plupart des choses avec cet optimisme à l'envers.
It is all a part of keeping fear and anxiety levels high enough (but below hysteria) so that the govt can tip you over the edge when they need it.	Le but est encore une fois de nous maintenir suffisamment effrayés et angoissés (sans en arriver à l'hystérie) pour le gouvernement puisse nous faire déraper quand il en a besoin.
I think it makes perfect sense that if we are to have a budget emergency in the absence of any crisis, a terrorist emergency in the absence in the absence of any acts of terrorism, why not have an ebola crisis in the absence of any cases?	Je crois qu'il est parfaitement logique que, si nous devons subir une urgence budgétaire en l'absence de toute crise, une urgence terroriste en l'absence de tout attentat, pourquoi ne pas avoir une crise d'Ébola en l'absence de tout cas avéré ?
This government seems to want to save us from crises of their own invention.	Il semble que ce gouvernement cherche à nous sauver de crises qu'il a lui-même inventé.
Is there not something intrinsically wrong with a fear-based approach to government?	N'y a-t-il pas quelque chose de fondamentalement problématique avec l'idée de gouverner par la peur ?
Congratulations for this post, and for still being in this world nearly 35 years later.	Félicitations pour ce post , et pour être encore de ce monde presque 35 ans après.
In addition, at the start it must have been horrible, given the context of the 1980s-90s.	De plus au début ça a dû être horrible , vu le contexte des années 1980-90.
I am blown away, living with the certainty of going through it for years...	Je suis bluffe, vivre avec la certitude d’y passer pendant des années …..
A perfectly useless testimony.	Témoignage parfaitement inutile.
Like whenever science is talked about.	Comme toujours quand on parle de sciences.
Not only do testimonies serve no good: taken on their own, they cannot be used as scientific material.	Non seulement les témoignages ne servent à rien: pris isolément, ils ne peuvent servir de matériau scientifique.
But they have a damaging influence on the objective appreciation of the facts.	Mais ils ont une influence néfaste sur l’appréciation objective des faits.
@trafic: Testimonies cannot be used as scientific material.	@trafic: Les témoignages ne peuvent servir de matériau scientifique.
This is maybe why one refrains from posing questions to psychiatric patients when one has reliable observations from close relatives.	C’est peut-être pour cela qu’on s’abstient de poser des questions aux patients en psychiatrie quand on a des observations fiables en provenance des proches.
My psychiatric file mentions that my psychiatrist mother explains that I was educated telepathically by her mother-in-law.	Mon dossier psychiatrique mentionne que ma mère psychiatre explique que j’ai été éduqué télépathiquement par sa belle-mère.
This is therefore an objective symptom.	Ceci est donc un symptôme objectif.
When I say that it is nonsense, it is a subjective testimony without importance.	Quand je dis que c’est de la foutaise, c’est un témoignage subjectif sans importance.
Ah, because the certification of a fact (= here this testimony, which proves the contamination and the effectiveness of new treatments) serves no purpose in a scientific procedure?	Ah, parce que l’attestation d’un fait (= ici ce témoignage, qui atteste de la contamination et de l’efficacité des nouveaux traitements) ne sert à rien dans une démarche scientifique ?
On what do you base your research, then?	Sur quoi basez-vous les recherches, alors ?
On fantasies?	Sur des fantasmes ?
Do you place fanciful theories and facts (= giving rise to verifiable testimonies) on the same level?	Vous mettez au même niveau des théories fantaisistes et des faits (= donnant lieu à des témoignages vérifiables) ?
"Resilience": the phony word adulated by grandmothers, fans of J-L Delarue, who think they are great psychologists after having read D'ansembourg.	« Résilience » : le mot bidon adulé par les grands-mères, fans de J-L Delarue, qui se prennent pour de grandes psychologues après avoir lu D’ansembourg.
@Jim: There are many meaningless buzzwords at the psychs.	@Jim: Il y a plein de buzzwords vide de sens chez les psys.
Cyrulnik did the "resilience" trick on us.	Cyrulnik nous a fait le coup de la « résilience ».
As he is a great scientist, Cyrulnik, I hope that he will have knocked together a reliable measuring scale to quantify it, this famous resilience.	Comme c’est un grand scientifique, Cyrulnik, j’espère qu’il nous aura bricolé une échelle fiable de mesure pour la quantifier, cette fameuse résilience.
I wonder if Thunderbirds could save us all from farage and co.??	Je me demande si les Sentinelles de l'air pourraient tous nous sauver de Farage et compagnie ??
Team America anyone?	Ça ne vous fait pas penser à Team America ?
Seriously, thunderbirds is *not* a good thing to bring back...	Sérieusement, ce n'est *pas* une bonne idée de ressortir les Sentinelles de l'air...
Why on Earth not?	Et pourquoi donc ?
It was a wonderful series and it seems to being brought back by people who recognise that!	C'était une série géniale et on dirait que ceux qui la ressortent en ont conscience !
Leave the saving to the almighty who deals with miracles.	Laissons donc notre salut au tout-puissant qui peut faire des miracles.
How are they going to make it successful with children though?	Mais comment vont-ils faire pour que les enfants accrochent ?
I can only see them introduce toilet humour and the like which will wreck it.	La seule solution qui me vienne à l'esprit c'est l'humour genre pipi-caca, ce qui tuerait la série.
It was already a children's show.	C'était déjà une série pour enfants.
That was popular with children.	Les enfants accrochaient.
Because it's a children's show?	Ah, parce que c'est une série pour enfants ?
UKIP are Mysteron agents.	Le UKIP travaillent pour les Mysterons.
You can keep Team America.	Gardez donc votre Team America.
Still available in Supermarionation?	Toujours en Supermarionation ?
It won't be the same without the visible strings and the nodding-dog heads. :-)	Ce ne sera pas pareil si on ne voit pas les fils et que l'animation est bien faite. :-)
Looking forward to this (even as a grown up), but I hope this also inspires one of the channels to re-run the originals.	J'ai hâte de voir cela (bien qu'étant un adulte), mais j'espère que cela donnera l'idée à une chaîne de rediffuser les vieux.
It's virtually never been off the air here in Australia - for at least the last 40 years, we've had hour-long episodes on Saturdays & Sundays at 0600.	La série n'a quasiment jamais arrêté d'être diffusée ici en Australie ; ça fait au moins 40 ans qu'on a des épisodes d'une heure le samedi et le dimanche à 06 h.
Since the advent of digital free-to-air TV a few years ago, it has been moved to one of the secondary commercial channels & still screens at those times.	Depuis l'arrivée la télévision numérique gratuite il y a quelques années, elle est sur l'une des chaînes commerciales de second ordre et on peut toujours la voir à ces horaires.
The bonus is that half-hour episodes are now on at 0530, Monday to Friday!	Et en plus les épisodes d'une demi-heure passent désormais à 05 h 30, du lundi au vendredi !
Yes, I am probably a "sad" 60 year old bloke, but I don't watch it every day!	D'accord, je suis probablement un « triste » mec de 60 ans, mais je ne regarde pas cette série tous les jours !
There is no "Temple Mount" in or under the esplanade of mosques!!!	Il n'a y pas du "Mont du temple" dans ou sous la mosquée des esplanades !!!
Radical Zionists invented it to give themselves political legitimacy to colonize Jerusalem.	Les sionistes radicaux ont inventé ceci pour se donner une légitimité politique pour coloniser Jérusalem.
Moreover, all the Israeli excavations underneath and around the esplanade of mosques for several decades have not been able to find anything.	D'ailleurs, toutes les fouilles israéliennes en dessous et autour de la mosquée des esplanades depuis plusieurs décennies n'ont rien permis de trouver.
The temple mount, if it exists, it is elsewhere.	Le mont du temple s'il est existe il est ailleurs.
Perhaps in Argentina?	Peut être en argentine ??
This mount is not looked for due to the simple reason that it is the hill on which the esplanade of mosques was built.	Ce mont n’est pas recherché pour la simple raison que c’est la colline sur laquelle a été construite l’esplanade des mosquées.
Its summit, or the dome of the Rock, juts out in the middle of the Omar mosque.	Son sommet, ou dôme du Rocher, fait saillie au milieu de la mosquée d’Omar.
For Muslims, Mohammed went up to heaven from this rock.	Pour les musulmans, Mahomet est monté au paradis à partir de ce rocher.
For Jews, it is the mount Moriah where Abraham almost sacrificed his son Isaac.	Pour les juifs, c’est le mont Moriah où Abraham faillit y sacrifier son fils Isaac.
From the moment when it was taken and contextualized, there is no propaganda, but information, dear K1K1.	Du moment qu'elle a été prise et contextualisée, il n'y a pas propagande, mais information, cher K1K1.
Israel also has its extremists, it is good to remember that regularly, and they unfortunately took over in the government (Naftali Bennet, Avigdor Liebermann, and even Netanyahou, the latter had accepted the 2-state plan, and scrapped it continually!).	Israël compte aussi ses extrémistes, il est bon de le rappeler régulièrement, et ils sont malheureusement relayés au gouvernement (Naftali Bennet, Avigdor Liebermann, et même Netanyahou, ce dernier avait accepté le plan à 2 états, et l'a sabordé de manière continue!).
It is also to show to what extent the annexation of Jerusalem is not a peaceful event.	Il est aussi bon de montrer à quel point l'annexion de Jérusalem n'est pas un fait pacifique.
Will God be able to recognize his own?	Dieu pourra-il reconnaître les siens?
The shortest Jewish joke: "Praise be to God!"	La plus courte des blague juive : "Dieu soit loué !"
To praise tourism in Israel to us, we are often shown half-undressed young nymphs, languid on the beach.	Pour nous vanter le tourisme en Israël, on nous montre souvent de jeunes naïades à demi dévêtues, alanguies sur la plage.
The reality is, as usually, quite different from what the advertisement shows us, as can be seen on the photo which illustrates the article.	La réalité est, comme d’habitude, bien différente de ce que nous montre la publicité, comme on peut le voir sur la photo qui illustre l’article.
It is a bit scary all the same.	Ca fait un peu peur quand même.
And this photo is a magnificent propaganda campaign!	Et cette photo est une magnifique oeuvre de propagande!
Shame that the Reuters photographer did not take a photo of the hundreds of Palestinians authorized to go back to the temple Mount and who prefer to stone faithful Jews down below, praying at the wailing Wall.	Dommage que le photographe de Reuters n'ait pas pris en photo les centaines de palestiniens autorisés à se rentre sur le Mont du temple et qui préfèrent caillasser les fidèles juifs en contrebas, priant au Mur des lamentations.
@Mat, If this photo disturbs you, it has every right to do so, it is neither the newspaper, nor the photographer, but this woman and the ideology that she transmits that must be condemned.	@Mat, Si cette photo vous dérange, c'est à bon droit, ce n'est ni le journal, ni le photographe, mais cette femme et l'idéologie qu'elle transmet qu'il faut condamner.
This is not sustainable and will end in tears.	Ce système n'est pas tenable et finira en pleurs.
The only way to end it is revolution.	La seule façon de mettre fin à ce système, c'est la révolution.
Since the economy apparently went to shit big business has hugely taken advantage of their employees.	Depuis que l'économie semble partir en vrille, les grandes entreprises ont énormément profité de leurs employés.
They have managed to convince their workers that they are lucky to have a job and that they can't afford to be given pay rises, whilst at the same time and in plain sight, they have awarded the elite few at the top bigger and bigger rewards.	Elles ont réussi à convaincre leurs salariés qu'ils ont de la chance d'avoir un emploi et qu'elles ne peuvent se permettre d'augmenter les salaires, alors que dans le même temps et sans se cacher, elles ont donné des rémunérations toujours plus importantes à la petite élite au sommet.
You are right it is not sustainable, but it will only end in this country when the working classes actually speak with one voice.	Vous avez raison, ce n'est pas tenable, mais cela ne changera dans ce pays que quand les travailleurs parleront vraiment d'une seule voix.
Rather than bitch and moan about somebody else's industrial action, support it, show a bit of solidarity and recognise that their action is not only dealing with their issues, but is also showing your employer there are consequences for taking the piss.	Au lieu de râler et de gémir quand quelqu'un d'autre fait la grève, soutenez-les, faites preuve d'un peu de solidarité et comprenez que leur grève ne concerne pas seulement leurs problèmes, mais montre aussi à votre employeur qu'on n'emmerde pas les gens impunément.
Not if we get rid of democracy, then it is sustainable.	Sauf si on abandonne la démocratie, auquel cas si, c'est tenable.
I totally agree.	Je suis totalement d'accord.
The only point you missed was how UK and US business sold our manufacturing and now our service jobs off to countries with the worst, most polluting places with cheapest most exploited workers.	La seule chose que vous avez oublié c'est que les entreprises britanniques et américaines ont vendu notre industrie et maintenant nos services aux pays où les conditions sociales et environnementales sont les pires.
China and India come to mind.	Comme par exemple la Chine et l'Inde.
There is no way this is going to end well.	Tout cela ne peut pas bien finir.
It's because we don't have democracy that it has been sustained.	C'est parce que nous sommes en démocratie que ça a tenu.
Did you vote for TTIP?	Avez-vous voté pour le PTCI ?
The Transatlantic Trade and Investment Partnership (TTIP) is intended to increase the profits of the corporations that these people own by overriding national governments through secret courts.	Le Partenariat transatlantique de commerce et d'investissement (PTCI) vise à accroître les profits des sociétés détenus par ces gens-là en court-circuitant les gouvernements nationaux par des tribunaux secrets.
That sounds unbelievable but it is exactly what the Investor-State Dispute Settlement (ISDS) part of the deal is intended for.	Ça paraît incroyable, mais c'est exactement ce à quoi sert le mécanisme de règlement des différends entre investisseurs et États (ISDS) proposé par l'accord.
The the Green party is opposed to it and trying to alert people to the incredible devastation it will wreak on our lives.	Les Verts sont contre ce projet et tentent d'alerter les gens quant aux dégâts inimaginables que cet accord aura sur nos vies.
It is only now starting to appear in the media: Independent Guardian World Development Movement Please look at these links to understand what is being negotiated behind your back.	Ce n'est que récemment qu'on commence à en parler dans les médias : Independent Guardian World Development Movement Regardez donc ces liens et vous comprendrez ce qui est en train d'être négocié dans votre dos.
Did Churchill say, Blood, Sweat and Tears?	Churchill n'a-t-il pas dit « du sang, de la sueur et des larmes » ?
But these are indeed things which trickle down very well, whereas digital money does not even form drops, let alone drop off trees.	Voilà qui font d'excellentes retombées, alors que l'argent numérique n'a aucune raison de tomber et encore moins de pousser sur les arbres.
The next weak spot is likely to be the car market.	Le prochain maillon faible sera sans doute le marché de l'automobile.
This man is right, in the 18th there were unions in all the regiments	Ce monsieur a raison, au XVIII il y avait des syndicats dans tous les régiments
In the very Catholic French army, there is a sacrificial dimension.	Dans la très catholique armée française, il y a une dimension sacrificielle.
Leave it (well, its officers, the others, no one knows anything) to believe that it is the safe of France's eternal values, and it will fight and shut up.	Laissez-là (enfin, ses officiers, les autres, personne ne sait rien) se croire le coffre-fort des valeurs éternelles de la France, et elle se battra et fermera sa gueule.
And then with the decline of the country, globalization, Europe, the crisis of values, in short: the dissolution of the idea of the Nation, to have this small relic, it's comforting.	Et puis avec le déclin du pays, la mondialisation, l'Europe, la crise des valeurs, bref : la dissolution de l'idée de Nation, avoir cette petite relique, c'est réconfortant.
Even if for it, it is more and more uncomfortable...	Même si pour elle, c'est de plus en plus inconfortable...
You are still missing the union of married men, single men, married women, single women, lost dogs and I don't know what else	Ils vous manque encore le sindicat sdes hommes mariés, des celibataires, des femmes mariées, des celibataires, des chiens perdus et je ne sais quoi encore
If you do not write French correctly, I'll form a union.	Si vous n'écrivez pas correctement le Français, je me syndique.
You have been warned, it will be your fault.	Vous êtes prévenu, ce sera votre faute.
For the defence of interest groups, we already have to put up with protected professions equipped with unions quite enough, which created a breach of equality with other citizens.	Pour la défense des intérêts catégoriels on subit déjà bien assez les professions protégées dotées de syndicats, ce qui a créé une rupture d'égalité avec les autres citoyens.
We are requested not to laugh about a civil servant's fear of risk.	On est prié de ne pas rire à propos de la peur du risque de la part d'un fonctionnaire.
One can very easily imagine a system that ensures a certain freedom of expression without unions, or without the right to strike like in Germany, in exchange for the protection which they enjoy.	On peut très bien imaginer un système assurant une certaine liberté d'expression sans syndicats, ou alors sans droit de grève comme en Allemagne, en contrepartie de la protection dont ils jouissent.
Otherwise catastrophe is ensured.	Sinon catastrophe assurée.
And with the charrettes which are prepared, the government congratulates itself.	Et avec les charrettes qui se préparent, le gouvernement s'en félicite.
What security are you talking about?	De quelle sécurité parlez-vous ?
Ignorance indeed...	Ignorance en effet...
Ignorance for ignorance. Sybille I was referring to soldiers and other civil servants, as this is the subject commented on here...	Ignorance pour ignorance Sybille je faisais allusion aux militaires et autres fonctionnaires, puisque c'est le sujet ici commenté...
If we remove "through its delegates" in article 8 of the preamble to the 1946 constitution.	Supprimons "par l'intermédiaire de ses délégués" dans l'article 8 du préambule de la constitution de 1946.
It will become: "8.	Il deviendra : "8.
Any worker contributing to the collective determination of working conditions and the management of companies".	Tout travailleur participe à la détermination collective des conditions de travail ainsi qu'à la gestion des entreprises".
This is absolutely essential with the irruption of informative power.	Cela est absolument indispensable avec l'irruption du pouvoir informatif.
And yet you open, presumably read and then post on an article specifically titled 'the great British bake off review'. ?????	Et pourtant vous avez ouvert, vraisemblablement lu puis commenté un article spécifiquement intitulé « The Great British Bake Off review ». ?????
Look, it was just lying there, empty.	Attendez, la section était là, toute vide.
I thought it could do with a conversation starter.	J'ai pensé qu'il fallait lancer la conversation.
Anyway, it was Joffrey's wedding I watched - there was some top, top, top, baking action on that episode	De toute façon c'est le mariage de Joffrey que j'ai regardé, et je peux vous dire que certains ont été bien assaisonnés.
Joffrey's wedding episode features one of the finest show-stoppers (albeit misdirection - it was the wine) in TV history.	Dans l'épisode du mariage de Joffrey on a l'un des meilleurs moments (quoique trompeur : c'était le vin) dans l'histoire de la télévision.
Also, mmm pie.	Aussi, de la tarte mmmh...
Game of Thrones!	Game of Thrones !
I love GBBO!	J'adore GBBO !
Second final in a row where strangely it almost seems like the least worst baker on the day wins - no - one seemed to go "bang - here's my big bastard of a cake now bang it in your mouth and bow to the best" !	C'est la deuxième fois d'affilée que, étrangement, l'émission se termine avec une victoire du boulanger le moins pire ; personne n'a fait genre « boum, voilà mon putain de gâteau maintenant bouffez-le et inclinez-vous devant votre maître » !
Perhaps the added pressure of friends and family outside finally gets to them?	Peut-être que la pression supplémentaire d'amis et de parents dehors a finalement eu un effet pour eux ?
In previous weeks all those outsiders have been kept away.	Les semaines précédentes, toutes ces personnes extérieures étaient tenues à l'écart.
Plus there's the feeling of 'stay safe, there's always next week' which disappears on the final week.	Et il y a aussi cette idée de « jouer la sécurité, il y a toujours la semaine prochaine » qui disparaît la dernière semaine.
I love baking but can't imagine putting myself through this.	J'aime cuisiner mais je ne m'imagine pas m'infliger cela.
I remain grateful to this who do and who give us some lovely entertainment and inspire us to try something different next time.	Je suis reconnaissante envers ceux qui le font et nous offrent ainsi un super divertissement et nous pousse à essayer de nouvelles choses.
Roll on GBBO15!	En avant pour GBBO 2015 !
Id agree, last years final challenge, the wedding cake, was ludicrous.	Je suis d'accord, le dernier défi de l'année dernière, le gâteau de mariage, était absurde.
Professionals usually take days to make them and they were expected to knock one together in 3-4 hours.	Les professionnels mettent généralement des jours pour les faire et eux devaient en bricoler un en 3-4 heures.
The three showstoppers were all so neck and neck I couldn't imagine how they'd pick a winner.	Les trois défis étaient vraiment difficile à départager, je ne sais pas comment ils ont pu choisir un vainqueur.
Luis' bottom layer being a bit dry was the only real fault they found (though I agreed with Hollywood that the lime green icing on Richard's windmill was a bit off putting, though Richard had already blown it by that point).	Chez Luis, le seul vrai défaut qu'ils aient pu trouver c'était la base un peu sèche (même si je suis d'accord avec Hollywood pour dire que le glaçage vert sur le moulin de Richard ne donnait pas envie, de toute façon Richard avait déjà perdu à ce moment-là).
I must admit, several of the challenges in this series have felt a bit artificial because of the time restrictions.	Je dois avouer que plusieurs défis de cette série semblent un peu artificiels à cause du temps imparti.
There is also cancer which lies in wait, with the gusts of solar wind.	Il y a aussi le cancer qui guette, avec les coups de vent solaire.
We are certainly succeeding at everything at the moment.	Décidément, tout nous réussit en ce moment.
A bad moment for humanity to go through is expected.	Un mauvais moment à passer pour l’humanité, on l’espère.
You are mixing solar wind and ultraviolet rays up.	Vous confondez vent solaire et rayons ultraviolets.
UV rays are mainly blocked by the ozone layer, which is formed precisely by the impact of residual solar wind particles and UV rays.	Les UV sont bloqués principalement par la couche d’ozone qui est formée justement par l’impact des particules de vent solaire résiduel et des UV.
So, even if the magnetic field gets weaker, there would not be enough solar wind to "get rid of" the stratospheric ozone.	Donc même si le champ magnétique s’affaiblissait, il n’y aurait pas assez de vent solaire pour « chasser » l’ozone de la stratosphère.
There would be even more, and therefore less UV and "cancers".	Il y en aurait même plus, et donc moins d’UV et de « cancers ».
Fortunately the ozone layer does not block UV rays.	Heureusement que la couche d’ozone ne bloque pas les UV.
They have loads of useful functions that you cannot even imagine.	Ils ont un tas de fonctions utiles que vous ne soupçonnez pas.
If we limit ourselves to man, they are concerned with allowing us to have bones (synthesis of vitamin D), heating us (apart from infrared), modulating our immune system and, it seems, improving our morale.	Si on se limite à l’homme ils ont l’intérêt de nous permettre d’avoir des os (synthèse de vitamine D), de nous chauffer (moins que les infrarouges), de moduler notre système immunitaire et, semble-t-il, d’améliorer notre moral.
The ozone layer blocks the carcinogenic UVC and lets UVA and the majority of UVB through.	La couche d’ozone bloque les UVC cancérigènes et laisse passer les UVA et la plupart des UVB.
Do you know that you are not obliged to be condescending and to consider your interlocutor as a backward person when you post a comment?	Vous savez que vous n’êtes pas obligé d’être condescendant et de considérer votre interlocuteur comme un demeuré quand vous postez un commentaire?
